"ANO_ELEICAO";"SG_UF";"NM_URNA_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_CARGO";"ST_REELEICAO";"NR_IDADE_DATA_POSSE"
2018;"SP";"BURRO-MARCOS SAMPAIO";"AVANTE";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";42
2018;"PA";"SIDNEY ROSA";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"SENADOR";"N";62
2018;"SP";"MOISÉS COSTA";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";38
2018;"RS";"ZANATTA";"PROS";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";55
2018;"RS";"CRIS REIS";"PROS";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";51
2018;"GO";"TIÃO DA CONSTRUÇÃO CIVIL";"PCO";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"1º SUPLENTE";"N";51
2018;"SP";"JOÃO GRANDE";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";41
2018;"DF";"TONINHO COWBOY";"PPL";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"DEPUTADO DISTRITAL";"N";43
2018;"AM";"FERNANDA SILVA";"AVANTE";"FEMININO";"SUPERIOR INCOMPLETO";"DEPUTADO FEDERAL";"N";23
2018;"PA";"MARCELO SANTOS ";"REDE";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";47
2018;"ES";"FABRÍCIO GANDINI";"PPS";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";39
2018;"SC";"ITAMAR CAON";"PSB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";40
2018;"RS";"TIAGO SIMON";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"S";49
2018;"MG";"JOSELENE SANTOS";"PSOL";"FEMININO";"SUPERIOR INCOMPLETO";"DEPUTADO FEDERAL";"N";37
2018;"PA";"CLODOALDO SOUSA";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";40
